fname,fcount
/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,16
/usr/lib/x86_64-linux-gnu/libgmp.so.10,8
/usr/lib/x86_64-linux-gnu/libisl.so.23,8
/usr/lib/x86_64-linux-gnu/liblzma.so.5,16
/usr/lib/x86_64-linux-gnu/libm.so.6,96
/usr/lib/x86_64-linux-gnu/libmpc.so.3,8
/usr/lib/x86_64-linux-gnu/libmpfr.so.6,8
/usr/lib/x86_64-linux-gnu/libnuma.so.1,12
/usr/lib/x86_64-linux-gnu/libnvidia-ml.so.1,8
/usr/lib/x86_64-linux-gnu/libopcodes-2.38-system.so,8
/usr/lib/x86_64-linux-gnu/libpcre.so.3,4
/usr/lib/x86_64-linux-gnu/libpthread.so.0,88
/usr/lib/x86_64-linux-gnu/librt.so.1,12
/usr/lib/x86_64-linux-gnu/libsmartcols.so.1,4
/usr/lib/x86_64-linux-gnu/libsqlite3.so.0,8
/usr/lib/x86_64-linux-gnu/libssl.so.3,12
/usr/lib/x86_64-linux-gnu/libstdc++.so.6,12
/usr/lib/x86_64-linux-gnu/libtinfo.so.6,4
/usr/lib/x86_64-linux-gnu/libutil.so.1,12
/usr/lib/x86_64-linux-gnu/libuuid.so.1,12
/usr/lib/x86_64-linux-gnu/libz.so.1,44
/usr/lib/x86_64-linux-gnu/libzstd.so.1,8
/usr/local/cuda-12.9/compat/libcuda.so.1,12
/usr/local/cuda/targets/x86_64-linux/lib//libcudart.so.12,2
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libXau-154567c4.so.6.0.0,9
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libbrotlicommon-c55a5f7a.so.1.1.0,15
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libbrotlidec-2ced2f3a.so.1.1.0,18
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libfreetype-5bb46249.so.6.20.4,18
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libharfbuzz-525aa570.so.0.61210.0,18
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libjpeg-a41b0190.so.62.4.0,18
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/liblzma-64b7ab39.so.5.8.1,15
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libopenjp2-94e588ba.so.2.5.4,15
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libpng16-00127801.so.16.50.0,15
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libtiff-295fd75c.so.6.2.0,18
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libxcb-64009ff3.so.1.1.0,18
/usr/local/lib/python3.12/dist-packages/PIL/../pillow.libs/libzstd-761a17b6.so.1.5.7,15
/usr/local/lib/python3.12/dist-packages/PIL/_imaging.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/PIL/_imagingft.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/_awscrt.abi3.so,12
/usr/local/lib/python3.12/dist-packages/_cbor2.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/aiohttp/_http_parser.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/aiohttp/_http_writer.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/aiohttp/_websocket/mask.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/aiohttp/_websocket/reader_c.cpython-312-x86_64-linux-gnu.so..,12
/usr/local/lib/python3.12/dist-packages/blake3/blake3.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/charset_normalizer/md.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/charset_normalizer/md__mypyc.cpython-312-x86_64-linux-gnu.s..,12
/usr/local/lib/python3.12/dist-packages/cuda/bindings/_bindings/cydriver.cpython-312-x86_64-linux-g..,8
/usr/local/lib/python3.12/dist-packages/cuda/bindings/cydriver.cpython-312-x86_64-linux-gnu.so,8
/usr/local/lib/python3.12/dist-packages/cuda/bindings/driver.cpython-312-x86_64-linux-gnu.so,8
/usr/local/lib/python3.12/dist-packages/cudnn/_compiled_module.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/frozenlist/_frozenlist.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/google/_upb/_message.abi3.so,4
/usr/local/lib/python3.12/dist-packages/hf_transfer/hf_transfer.abi3.so,12
/usr/local/lib/python3.12/dist-packages/httptools/parser/parser.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/httptools/parser/url_parser.cpython-312-x86_64-linux-gnu.so..,4
/usr/local/lib/python3.12/dist-packages/llguidance/_lib.abi3.so,8
/usr/local/lib/python3.12/dist-packages/llvmlite/binding/libllvmlite.so,4
/usr/local/lib/python3.12/dist-packages/markupsafe/_speedups.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/msgpack/_cmsgpack.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/msgspec/_core.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/multidict/_multidict.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numba/_devicearray.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/numba/_dispatcher.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/numba/_dynfunc.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/numba/_helperlib.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/numba/core/runtime/_nrt_python.cpython-312-x86_64-linux-gnu..,4
/usr/local/lib/python3.12/dist-packages/numba/core/typeconv/_typeconv.cpython-312-x86_64-linux-gnu...,4
/usr/local/lib/python3.12/dist-packages/numba/experimental/jitclass/_box.cpython-312-x86_64-linux-g..,4
/usr/local/lib/python3.12/dist-packages/numba/np/ufunc/_internal.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/numpy/_core/../../numpy.libs/libgfortran-040039e1-0352e75f...,24
/usr/local/lib/python3.12/dist-packages/numpy/_core/../../numpy.libs/libquadmath-96973f99-934c22de...,12
/usr/local/lib/python3.12/dist-packages/numpy/_core/../../numpy.libs/libscipy_openblas64_-6bb31eeb...,27
/usr/local/lib/python3.12/dist-packages/numpy/_core/_multiarray_umath.cpython-312-x86_64-linux-gnu...,18
/usr/local/lib/python3.12/dist-packages/numpy/fft/_pocketfft_umath.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/linalg/_umath_linalg.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/numpy/random/_bounded_integers.cpython-312-x86_64-linux-gnu..,12
/usr/local/lib/python3.12/dist-packages/numpy/random/_common.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/random/_generator.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/random/_mt19937.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/random/_pcg64.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/random/_philox.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/random/_sfc64.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/random/bit_generator.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/numpy/random/mtrand.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/nvidia/cuda_nvrtc/lib/libnvrtc-builtins.so.12.9,6
/usr/local/lib/python3.12/dist-packages/nvidia/cuda_nvrtc/lib/libnvrtc.so.12,15
/usr/local/lib/python3.12/dist-packages/nvidia/nvjitlink/lib/libnvJitLink.so.12,12
/usr/local/lib/python3.12/dist-packages/openai_harmony/openai_harmony.abi3.so,8
/usr/local/lib/python3.12/dist-packages/propcache/_helpers_c.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/psutil/_psutil_linux.abi3.so,8
/usr/local/lib/python3.12/dist-packages/pybase64/_pybase64.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/pydantic_core/_pydantic_core.cpython-312-x86_64-linux-gnu.s..,12
/usr/local/lib/python3.12/dist-packages/ray/_raylet.so,2
/usr/local/lib/python3.12/dist-packages/ray/thirdparty_files/psutil/_psutil_linux.abi3.so,4
/usr/local/lib/python3.12/dist-packages/regex/_regex.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/rpds/rpds.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/runai_model_streamer/libstreamer/lib/libstreamer.so,12
/usr/local/lib/python3.12/dist-packages/safetensors/_safetensors_rust.abi3.so,12
/usr/local/lib/python3.12/dist-packages/scipy/_cyutility.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/_lib/_ccallback_c.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/_lib/_uarray/_uarray.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/_lib/messagestream.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/fft/_pocketfft/pypocketfft.cpython-312-x86_64-linux-g..,12
/usr/local/lib/python3.12/dist-packages/scipy/linalg/../../scipy.libs/libscipy_openblas-b75cc656.so..,27
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_cythonized_array_utils.cpython-312-x86_64-lin..,12
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_decomp_interpolative.cpython-312-x86_64-linux..,12
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_decomp_lu_cython.cpython-312-x86_64-linux-gnu..,12
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_decomp_update.cpython-312-x86_64-linux-gnu.so..,12
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_fblas.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_flapack.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_linalg_pythran.cpython-312-x86_64-linux-gnu.s..,12
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_matfuncs_expm.cpython-312-x86_64-linux-gnu.so..,18
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_matfuncs_schur_sqrtm.cpython-312-x86_64-linux..,18
/usr/local/lib/python3.12/dist-packages/scipy/linalg/_solve_toeplitz.cpython-312-x86_64-linux-gnu.s..,12
/usr/local/lib/python3.12/dist-packages/scipy/linalg/cython_blas.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/scipy/linalg/cython_lapack.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_bglu_dense.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_direct.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_group_columns.cpython-312-x86_64-linux-gnu...,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_highspy/_core.cpython-312-x86_64-linux-gnu...,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_highspy/_highs_options.cpython-312-x86_64-l..,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_lbfgsb.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_lsap.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_lsq/givens_elimination.cpython-312-x86_64-l..,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_minpack.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_moduleTNC.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_pava_pybind.cpython-312-x86_64-linux-gnu.so..,12
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_slsqplib.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_trlib/_trlib.cpython-312-x86_64-linux-gnu.s..,18
/usr/local/lib/python3.12/dist-packages/scipy/optimize/_zeros.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/sparse/_csparsetools.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/sparse/_sparsetools.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/sparse/linalg/_dsolve/_superlu.cpython-312-x86_64-lin..,18
/usr/local/lib/python3.12/dist-packages/scipy/sparse/linalg/_eigen/arpack/../../../../../scipy.libs..,21
/usr/local/lib/python3.12/dist-packages/scipy/sparse/linalg/_eigen/arpack/_arpack.cpython-312-x86_6..,18
/usr/local/lib/python3.12/dist-packages/scipy/sparse/linalg/_propack/_cpropack.cpython-312-x86_64-l..,18
/usr/local/lib/python3.12/dist-packages/scipy/sparse/linalg/_propack/_dpropack.cpython-312-x86_64-l..,18
/usr/local/lib/python3.12/dist-packages/scipy/sparse/linalg/_propack/_spropack.cpython-312-x86_64-l..,18
/usr/local/lib/python3.12/dist-packages/scipy/sparse/linalg/_propack/_zpropack.cpython-312-x86_64-l..,18
/usr/local/lib/python3.12/dist-packages/scipy/spatial/_ckdtree.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/spatial/_distance_pybind.cpython-312-x86_64-linux-gnu..,12
/usr/local/lib/python3.12/dist-packages/scipy/spatial/_distance_wrap.cpython-312-x86_64-linux-gnu.s..,12
/usr/local/lib/python3.12/dist-packages/scipy/spatial/_hausdorff.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/spatial/_qhull.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/spatial/_voronoi.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/spatial/transform/_rigid_transform.cpython-312-x86_64..,12
/usr/local/lib/python3.12/dist-packages/scipy/spatial/transform/_rotation.cpython-312-x86_64-linux-..,12
/usr/local/lib/python3.12/dist-packages/scipy/special/_comb.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/special/_ellip_harm_2.cpython-312-x86_64-linux-gnu.so..,18
/usr/local/lib/python3.12/dist-packages/scipy/special/_gufuncs.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/special/_specfun.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/scipy/special/_special_ufuncs.cpython-312-x86_64-linux-gnu...,12
/usr/local/lib/python3.12/dist-packages/scipy/special/_ufuncs.cpython-312-x86_64-linux-gnu.so,18
/usr/local/lib/python3.12/dist-packages/scipy/special/_ufuncs_cxx.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/sentencepiece/_sentencepiece.cpython-312-x86_64-linux-gnu.s..,12
/usr/local/lib/python3.12/dist-packages/setproctitle/_setproctitle.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/tiktoken/_tiktoken.cpython-312-x86_64-linux-gnu.so,8
/usr/local/lib/python3.12/dist-packages/tokenizers/tokenizers.abi3.so,12
/usr/local/lib/python3.12/dist-packages/torch/_C.cpython-312-x86_64-linux-gnu.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cublas/lib/libcublas.so.12,6
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cublas/lib/libcublasLt.so.12,12
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cuda_cupti/lib/libcupti.so.12,12
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cuda_runtime/lib/libcudart.so.12,6
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cudnn/lib/libcudnn.so.9,6
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cufft/lib/libcufft.so.11,15
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cufile/lib/libcufile.so.0,15
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/curand/lib/libcurand.so.10,6
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cusparse/lib/libcusparse.so.12,9
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/cusparselt/lib/libcusparseLt.so.0,15
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/nccl/lib/libnccl.so.2,6
/usr/local/lib/python3.12/dist-packages/torch/lib/../../nvidia/nvshmem/lib/libnvshmem_host.so.3,6
/usr/local/lib/python3.12/dist-packages/torch/lib/libc10.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libc10_cuda.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libgomp.so.1,9
/usr/local/lib/python3.12/dist-packages/torch/lib/libshm.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libtorch.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libtorch_cpu.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libtorch_cuda.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libtorch_global_deps.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libtorch_nvshmem.so,15
/usr/local/lib/python3.12/dist-packages/torch/lib/libtorch_python.so,15
/usr/local/lib/python3.12/dist-packages/torchvision/../torchvision.libs/libcudart.6ead8f7a.so.12,6
/usr/local/lib/python3.12/dist-packages/torchvision/../torchvision.libs/libjpeg.3892d175.so.8,12
/usr/local/lib/python3.12/dist-packages/torchvision/../torchvision.libs/libnvjpeg.af8ad92e.so.12,6
/usr/local/lib/python3.12/dist-packages/torchvision/../torchvision.libs/libpng16.5e60c995.so.16,15
/usr/local/lib/python3.12/dist-packages/torchvision/../torchvision.libs/libsharpyuv.9c8066ba.so.0,12
/usr/local/lib/python3.12/dist-packages/torchvision/../torchvision.libs/libwebp.284ec0f5.so.7,15
/usr/local/lib/python3.12/dist-packages/torchvision/../torchvision.libs/libz.0c15d28c.so.1,12
/usr/local/lib/python3.12/dist-packages/torchvision/_C.so,12
/usr/local/lib/python3.12/dist-packages/torchvision/image.so,27
/usr/local/lib/python3.12/dist-packages/triton/_C/libtriton.so,12
/usr/local/lib/python3.12/dist-packages/triton/backends/nvidia/lib/libdevice.10.bc,14
/usr/local/lib/python3.12/dist-packages/tvm_ffi/core.abi3.so,8
/usr/local/lib/python3.12/dist-packages/tvm_ffi/lib/libtvm_ffi.so,8
/usr/local/lib/python3.12/dist-packages/tvm_ffi/lib/libtvm_ffi_testing.so,8
/usr/local/lib/python3.12/dist-packages/uvloop/loop.cpython-312-x86_64-linux-gnu.so,8
/usr/local/lib/python3.12/dist-packages/vllm/_C.abi3.so,12
/usr/local/lib/python3.12/dist-packages/vllm/_moe_C.abi3.so,12
/usr/local/lib/python3.12/dist-packages/vllm/vllm_flash_attn/_vllm_fa2_C.abi3.so,8
/usr/local/lib/python3.12/dist-packages/vllm/vllm_flash_attn/_vllm_fa3_C.abi3.so,8
/usr/local/lib/python3.12/dist-packages/watchfiles/_rust_notify.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/websockets/speedups.cpython-312-x86_64-linux-gnu.so,4
/usr/local/lib/python3.12/dist-packages/xgrammar/xgrammar_bindings.cpython-312-x86_64-linux-gnu.so,8
/usr/local/lib/python3.12/dist-packages/yaml/_yaml.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/yarl/_quoting_c.cpython-312-x86_64-linux-gnu.so,12
/usr/local/lib/python3.12/dist-packages/zmq/backend/cython/../../../pyzmq.libs/libsodium-19479d6d.s..,18
/usr/local/lib/python3.12/dist-packages/zmq/backend/cython/../../../pyzmq.libs/libzmq-7b073b3d.so.5..,21
/usr/local/lib/python3.12/dist-packages/zmq/backend/cython/_zmq.abi3.so,18
